"國家/地區","确诊[註 1]","死亡","治癒","参考资料",
" 全球總計","253,105,861","5,098,522","N/A","詳[4]",
" 美國","47,891,997","783,439","37,897,335","詳[註 2][5][6][7]",
" 印度","34,437,307","463,530","33,837,859","詳[8]",
" 巴西","21,953,838","611,255","21,146,255","詳[9][10]",
" 英國","9,524,971","142,835","135","詳[註 3][12]",
" 俄羅斯","9,031,851","254,167","7,754,764","詳[13]",
" 土耳其","8,386,542","73,342","7,868,409","詳[14]",
" 法國","7,275,149","118,137","427,519","詳[註 4][16]",
" 伊朗","6,031,575","128,042","5,683,458","詳[註 5][19]",
" 阿根廷","5,305,151","116,228","5,170,876","詳[20][21]",
" 西班牙","5,047,156","87,673","4,889,801","詳[22][23][註 6]",
" 哥倫比亞","5,029,335","127,766","4,870,317","詳[24][25]",
" 德國","5,009,388","98,159","4,477,900","詳[26]",
" 義大利","4,852,496","132,739","4,604,645","詳[註 7][29]",
" 印尼","4,250,516","143,644","4,097,675","詳[30]",
" 墨西哥","3,844,791","291,089","3,204,910","詳[31]",
" 烏克蘭","3,217,639","76,705","2,631,240","詳[註 8][34][35]",
" 波蘭","3,190,067","78,821","2,788,003","詳[36][37]",
" 南非","2,925,939","89,484","2,819,688","詳[38]",
" 菲律賓","2,818,511","45,709","2,745,777","詳[39]",
" 馬來西亞","2,546,309","29,676","2,451,216","詳[40]",
" 荷兰","2,295,107","18,734","2,021,603","詳[註 9][41]",
" 秘魯","2,214,543","200,635","832,267","詳[42]",
" 伊拉克","2,069,247","23,503","2,025,057","詳[43]",
" 泰國","2,024,753","20,079","1,910,509","詳[44]",
" 捷克","1,896,075","31,541","1,722,749","詳[45][46]",
" 加拿大","1,748,391","29,337","1,693,037","詳[47]",
" 羅馬尼亞","1,742,304","53,069","1,578,707","詳[48]",
" 智利","1,726,481","37,975","1,629,572","詳[49]",
" 日本","1,725,466","18,327","1,705,474","詳[註 10][51]",
" 孟加拉国","1,572,501","27,922","1,536,515","詳[52][53]",
" 比利時","1,484,712","26,321","1,242,741","詳[54][55]",
" 以色列","1,337,190","8,143","1,323,574","詳[56]",
" 巴基斯坦","1,279,876","28,612","1,228,473","詳[57][58]",
" 塞爾維亞","1,211,163","10,839","1,108,124","詳[59]",
" 瑞典","1,182,471","15,051","1,147,441","詳[註 11][61][62]",
" 葡萄牙","1,107,488","18,257","1,051,300","詳[63]",
" 越南","1,026,522","23,082","863,311","詳[64]",
" 匈牙利","960,844","32,171","825,775","[65]",
" 奧地利","959,652","11,706","836,053","詳[66][67]",
" 古巴","958,738","8,282","948,649","[68]",
" 哈薩克斯坦","957,537","12,434","915,369","詳[69]",
" 摩洛哥","948,226","14,743","930,012","詳[註 12][71]",
"　瑞士","909,034","11,342","841,810","詳[72][73]",
" 約旦","892,123","11,238","851,303","[74]",
" 希臘","831,874","16,766","737,765","[註 13][75]",
"　尼泊爾","816,966","11,477","798,274","[76]",
" 格鲁吉亚","785,911","11,057","722,399","[註 14][77][78][79]",
" 阿聯酋","740,945","2,143","735,549","詳[80]",
" 突尼西亞","715,687","25,311","689,504","詳[81]",
" 保加利亞","655,647","26,279","516,141","[82]",
" 黎巴嫩","652,735","8,582","623,694","詳[83]",
" 白俄罗斯","627,478","4,848","607,623","詳[84]",
" 瓜地馬拉","610,004","15,714","591,720","[85]",
" 哥斯大黎加","564,159","7,197","524,560","[86]",
" 斯洛伐克","563,445","13,598","472,092","[87]",
" 亞塞拜然","560,853","7,445","522,431","[註 15][89]",
" 斯里蘭卡","551,343","13,995","523,929","[90][91]",
" 沙烏地阿拉伯","549,222","8,813","538,274","詳[92]",
" 克羅埃西亞","538,752","9,881","490,240","[93][94]",
" 厄瓜多","515,859","32,958","443,880","詳[95][96]",
" 玻利維亞","511,854","18,911","474,163","[97]",
" 緬甸","496,901","18,603","461,883","[98]",
" 巴拿馬","472,057","7,314","462,486","詳[99]",
" 巴拉圭","460,894","16,238","444,343","[100]",
" 愛爾蘭","438,124","5,436","381,782","詳[101]",
" 巴勒斯坦","422,641","4,395","411,884","[註 16][103]",
" 科威特","412,594","2,461","409,717","[104]",
" 委內瑞拉","403,318","4,848","385,614","[105]",
" 立陶宛","399,532","5,766","354,595","[106] [107]",
" 烏拉圭","392,879","6,076","384,911","[108]",
" 宏都拉斯","373,589","10,170","114,672","詳[109]",
" 多明尼加","373,040","4,093","362,793","詳[110]",
" 丹麥","371,286","2,694","358,833","詳[註 17][111]",
" 衣索比亞","360,503","6,287","330,821","詳[112]",
" 利比亞","351,756","4,945","283,674","[113]",
" 韓國","347,529","2,709","317,755","詳[114]",
" 蒙古","344,736","1,607","313,256","詳[115]",
" 摩爾多瓦","321,682","7,346","295,604","詳[註 18][117][118]",
" 埃及","321,084","18,105","270,973","詳[註 19][119]",
" 阿曼","301,784","4,049","291,039","[120]",
" 巴林","269,303","1,384","266,921","詳[121]",
" 斯洛文尼亞","259,304","4,429","253,772","詳[122]",
" 亞美尼亞","230,476","4,621","220,133","[123]",
" 卡塔尔","226,540","601","223,995","詳[124]",
" 波斯尼亚和黑塞哥维那","205,655","9,687","189,369","[125]",
" 肯尼亚","204,271","3,970","189,692","詳[126]",
" 尚比亞","196,490","3,412","188,950","[127]",
" 奈及利亞","174,315","2,149","165,005","詳[128]",
" 阿爾及利亞","172,564","4,291","116,009","詳[129]",
" 吉爾吉斯斯坦","164,743","2,344","147,377","[130]",
" 北馬其頓","156,506","5,494","150,399","詳[131][132]",
" 阿富汗","148,572","6,804","100,036","[133]",
" 拉脫維亞","138,925","2,556","135,640","[134][135]",
" 挪威","137,954","799","88,952","詳[註 20][137][138]",
" 愛沙尼亞","133,771","1,272","128,917","[139][140]",
" 阿爾巴尼亞","133,121","2,457","130,243","[141]",
" 烏茲別克斯坦","131,079","886","124,728","[142]",
" 波多黎各","127,479","2,581","89,326","[143]",
" 莫三比克","123,541","1,462","90,845","[144]",
" 納米比亞","119,285","3,057","95,913","詳[145]",
" 辛巴威","109,546","3,583","76,665","[146]",
" 芬蘭","107,666","982","46,000","詳[註 21][147][148]",
" 波札那","106,690","1,569","95,323","[149]",
" 科索沃","105,188","2,173","94,174","[150]",
" 迦納","103,019","823","97,213","詳[151]",
" 塞浦路斯","102,223","422","80,178","[註 22][153]",
" 蒙特內哥羅","102,184","1,631","99,040","[154]",
" 中国大陆","96,284","4,636","90,792","詳[註 23][156][157]",
" 烏干達","94,425","2,710","84,959","詳[158]",
" 薩爾瓦多","86,620","2,651","76,265","[159]",
" 喀麥隆","82,064","1,334","80,433","詳[160]",
" 柬埔寨","78,474","1,442","71,517","詳[161]",
" 馬爾地夫","77,547","221","74,758","[162]",
" 盧森堡","73,990","822","72,211","詳[163]",
" 盧旺達","71,346","821","44,856","詳[164]",
" 新加坡","65,213","37","62,957","詳[165]",
" 塞內加爾","63,520","1,385","47,992","[166][167]",
" 牙買加","53,237","1,196","47,001","[168]",
" 馬拉威","52,631","1,661","38,147","[169]",
" 象牙海岸","50,278","330","49,389","詳[170]",
" 民主剛果","50,193","1,038","29,994","詳[171]",
" 安哥拉","42,815","1,016","37,397","[172]",
" 馬達加斯加","42,672","943","41,164","[173]",
" 蘇丹","37,138","2,776","30,867","[174]",
" 千里達及托巴哥","36,198","998","29,458","詳[175]",
" 佛得角","33,317","295","32,496","詳[176]",
" 留尼旺","33,295","256","30,781","[177]",
" 馬爾他","32,833","420","30,236","[178]",
" 澳大利亚","32,120","915","29,743","詳[179]",
" 法屬圭亞那","28,995","167","9,995","詳[180][181]",
" 敘利亞","25,840","1,905","21,920","[182]",
" 加蓬","25,283","163","25,005","詳[183]",
" 幾內亞","24,711","190","23,610","詳[184]",
" 蘇利南","24,312","614","20,401","詳[185]",
" 茅利塔尼亞","22,753","511","20,802","詳[186]",
" 圭亞那","21,562","512","19,834","[187]",
" 史瓦帝尼","21,496","727","19,086","詳[188]",
" 海地","19,563","510","13,082","[189]",
" 馬約特","19,460","174","2,964","[190]",
" 斐濟","19,352","125","4,233","[191]",
" 法屬玻里尼西亞","19,127","144","18,887","詳[192]",
" 塞舌爾","17,541","86","16,814","詳[193]",
" 巴布亚新几内亚","17,515","191","17,153","详[194]",
" 瓜德罗普","17,373","236","2,250","詳[195]",
" 臺灣","16,487","848","1,133","詳[註 24][196]",
" 索馬利亞","15,123","781","7,275","詳[註 25]",
" 多哥","14,680","138","13,852","詳[198]",
" 馬里","14,522","530","12,376","[199]",
" 安道爾","14,379","127","13,930","[200]",
" 塔吉克斯坦","14,228","114","13,801","[201]",
" 貝里斯","13,772","332","13,090","[202]",
" 巴哈馬","13,604","274","12,112","詳[203]",
" 布吉納法索","13,536","169","13,340","[204]",
" 馬提尼克","13,371","99","98","詳[205]",
" 剛果（布）","12,998","174","11,759","詳[206]",
" 庫拉索","12,804","126","12,249","詳[207]",
" 萊索托","12,398","339","6,601","[208]",
" 香港","11,966","212","11,688","詳[209]",
" 吉布提","11,627","155","11,461","[210]",
" 阿魯巴","11,244","108","11,049","詳[211]",
" 南蘇丹","10,917","117","10,514","詳[212]",
" 東帝汶","10,174","26","9,390","[213]",
" 赤道幾內亞","8,848","123","8,591","詳[214]",
" 尼加拉瓜","8,767","193","4,225","[215]",
" 貝寧","8,244","107","8,081","詳[216]",
" 關島","8,107","140","7,528","[217]",
" 中非共和國","7,142","98","6,859","詳[218]",
" 葉門","6,992","1,371","4,162","[219]",
" 甘比亞","6,920","190","6,015","[220]",
" 冰島","6,718","30","6,628","詳[221]",
" 厄利垂亞","6,277","29","5,842","[222]",
" 塞拉利昂","6,003","110","3,927","詳[223]",
" 蒲隆地","5,608","8","773","[224]",
" 尼日尔","5,538","194","5,230","[225]",
" 聖露西亞","5,399","86","5,188","詳[226]",
" 利比里亞","5,102","144","2,588","[227]",
" 聖馬力諾","5,092","90","5,002","[228]",
" 乍得","4,954","174","4,777","[229]",
" 直布羅陀","4,430","94","4,254","詳[230]",
" 巴貝多","4,136","48","4,036","[231]",
" 科摩羅","3,996","146","3,790","[232]",
" 幾內亞比索","3,940","70","3,627","[233]",
" 澤西","3,353","76","2,997","詳[234]",
" 列支敦斯登","3,099","59","3,022","[235][236]",
" 紐西蘭","2,767","26","2,707","詳[237]",
" 寮國","2,719","3","2,174","[238]",
" 荷屬聖馬丁","2,638","34","2,582","[239]",
" 摩納哥","2,622","33","2,542","詳[240]",
" 百慕達","2,521","33","2,473","[241]",
" 特克斯和凯科斯群岛","2,436","18","2,400","[242]",
" 聖多美和普林西比","2,392","37","2,327","[243]",
" 不丹","2,275","1","1,973","詳[244]",
" 圣文森特和格林纳丁斯","2,241","12","2,141","詳[245]",
" 毛里裘斯","1,858","18","1,534","[246]",
" 马恩岛","1,684","29","1,571","[247]",
" 安提瓜和巴布達","1,266","42","1,222","詳[248]",
" 國際運輸","735","14","644","詳[註 26]",
" 法羅群島","668","1","662","[252]",
" 開曼群島","548","2","537","詳[253]",
" 坦桑尼亞","509","21","183","詳[註 27][254]",
" 根西","293","13","276","詳[255]",
" 汶萊","241","3","228","詳[256]",
" 英屬維京群島","216","1","191","[257]",
" 多米尼克","178","0","176","[258]",
" 格林納達","160","1","158","[259]",
" 北馬利安納群島","135","2","32","[260]",
" 新喀里多尼亞","124","0","58","詳[261]",
" 安圭拉","109","0","107","[262]",
" 奧蘭群島","91","0","0","[263]",
" 澳門","77","0","76","詳[264]",
" 福克蘭群島","62","0","55","[265]",
" 南極洲","58","0","0","詳[266]",
" 聖基茨和尼維斯","44","0","44","[267]",
" 格陵蘭","31","0","31","詳[268]",
"　梵蒂岡","29","0","27","詳[269]",
" 圣皮埃尔和密克隆","30","0","30","[270]",
" 圣尤斯特歇斯","24","0","21","[271]",
" 蒙特塞拉特","20","1","19","[272]",
" 所罗门群岛","20","0","18","[273]",
" 亞克羅提利與德凱利亞","11","0","0","[274]",
" 薩巴","10","0","8","[275][276]",
" 博奈爾","5","0","5","[277]",
" 瓦努阿图","4","1","1","[278]",
" 马绍尔群岛","4","0","4","[279]",
" 薩摩亞","3","0","2","[280]",
" 基里巴斯","2","0","0","[281]",
" 帕劳","2","0","2","[282]",
" 密克罗尼西亚联邦","2","0","1","[283]",
" 東加","1","0","0","",
"病例数据：中國大陸病例數、全球病例數、全球死亡病例數",
"數據截至2021年11月17日 • 查论编",
